transaction_id,date,branch,product_category,product_name,unit_price,quantity_sold,total_sales,payment_method,customer_gender,customer_age,satisfaction_rating,promo_status,daily_ad_spend
TRX01409,2026-01-01,Surabaya,Laptop,Laptop A14,14493000,1,14493000,E-Wallet,M,57.0,,Regular,584000
TRX00846,2026-01-01,Bandung,Smartphone,Smartphone MaxEdge,7967000,5,39835000,Credit Card,M,21.0,,Regular,1652000
TRX01550,2026-01-01,Jakarta,Accessories,Wireless Mouse,126000,4,504000,Cash,F,33.0,5.0,Regular,1092000
TRX01622,2026-01-01,Jakarta,Laptop,Laptop X1,13021000,3,39063000,Credit Card,F,39.0,1.0,Regular,727000
TRX01996,2026-01-01,Malang,Smartphone,Smartphone NovaLite,5472000,2,10944000,Credit Card,F,41.0,4.0,Regular,1630000
TRX00901,2026-01-01,Jakarta,Laptop,Laptop UltraSlim,9543000,2,19086000,E-Wallet,F,30.0,,Regular,2103000
TRX01739,2026-01-01,Surabaya,Home Appliances,TV LED 32in,4369000,2,8738000,Debit Card,F,,5.0,Regular,637000
TRX00773,2026-01-01,Bandung,Smartphone,Smartphone Air,1974000,5,9870000,E-Wallet,F,26.0,,Regular,1652000
TRX01913,2026-01-01,Jakarta,Home Appliances,Rice Cooker,1714000,3,5142000,Debit Card,F,39.0,4.0,Regular,2924000
TRX00845,2026-01-01,Jakarta,Smartphone,Smartphone Air,1632000,4,6528000,Debit Card,F,40.0,5.0,Regular,1258000
TRX01949,2026-01-01,Bandung,Laptop,Laptop ProBook,9489000,3,28467000,E-Wallet,F,34.0,,Regular,658000
TRX01237,2026-01-01,Bandung,Accessories,Wireless Mouse,329000,2,658000,Debit Card,F,41.0,4.0,Regular,824000
TRX01482,2026-01-01,Jakarta,Home Appliances,TV LED 32in,4858000,2,9716000,Debit Card,F,30.0,4.0,Regular,2607000
TRX01488,2026-01-01,Malang,Accessories,Wireless Mouse,90000,2,180000,Debit Card,M,36.0,5.0,Regular,2463000
TRX00381,2026-01-01,Surabaya,Accessories,Wireless Mouse,476000,5,2380000,Cash,F,25.0,2.0,Regular,2619000
TRX01294,2026-01-01,Malang,Laptop,Laptop A14,9312000,5,46560000,E-Wallet,M,26.0,,Regular,2842000
TRX01279,2026-01-02,Malang,Smartphone,Smartphone MaxEdge,3298000,3,9894000,E-Wallet,M,31.0,5.0,Regular,1109000
TRX01532,2026-01-02,Surabaya,Smartphone,Smartphone Air,2121000,5,10605000,Cash,F,36.0,3.0,Regular,1654000
TRX01175,2026-01-02,Bandung,Smartphone,Smartphone Z5,2690000,5,13450000,Debit Card,M,46.0,5.0,Regular,228000
TRX01807,2026-01-02,Bandung,Laptop,Laptop A14,13401000,3,40203000,Credit Card,F,,5.0,Regular,1964000
TRX00303,2026-01-02,Bandung,Smartphone,Smartphone NovaLite,4620000,3,13860000,E-Wallet,M,31.0,5.0,Regular,1608000
TRX00707,2026-01-02,Malang,Smartphone,Smartphone Z5,2087000,2,4174000,E-Wallet,M,36.0,4.0,Regular,231000
TRX01190,2026-01-02,Malang,Smartphone,Smartphone NovaLite,5757000,3,17271000,Debit Card,M,32.0,4.0,Regular,1418000
TRX00104,2026-01-02,Jakarta,Home Appliances,Rice Cooker,5951000,3,17853000,Cash,F,48.0,4.0,Regular,1406000
TRX00575,2026-01-02,Jakarta,Home Appliances,Rice Cooker,2838000,5,14190000,E-Wallet,M,64.0,3.0,Regular,2176000
TRX01070,2026-01-02,Surabaya,Smartphone,Smartphone Z5,4040000,5,20200000,Debit Card,M,25.0,,Regular,425000
TRX00465,2026-01-02,Jakarta,Laptop,Laptop ProBook,6826000,2,13652000,Credit Card,M,20.0,5.0,Regular,1157000
TRX01763,2026-01-02,Surabaya,Smartphone,Smartphone NovaLite,6036000,1,6036000,Cash,F,20.0,5.0,Regular,1279000
TRX01121,2026-01-03,Surabaya,Smartphone,Smartphone NovaLite,1821000,3,5463000,Debit Card,M,38.0,3.0,Regular,2815000
TRX00889,2026-01-03,Bandung,Laptop,Laptop UltraSlim,6758000,3,20274000,E-Wallet,M,45.0,4.0,Regular,239000
TRX01682,2026-01-03,Malang,Laptop,Laptop UltraSlim,6662000,2,13324000,Credit Card,M,32.0,3.0,Regular,1913000
TRX01038,2026-01-03,Jakarta,Laptop,Laptop UltraSlim,10474000,1,10474000,E-Wallet,F,27.0,4.0,Regular,2142000
TRX00839,2026-01-03,Malang,Accessories,Powerbank 10000mAh,499000,1,499000,Credit Card,M,32.0,4.0,Regular,2202000
TRX00410,2026-01-03,Jakarta,Accessories,Powerbank 10000mAh,292000,3,876000,Cash,M,33.0,5.0,Regular,1627000
TRX00801,2026-01-03,Surabaya,Smartphone,Smartphone Air,3959000,4,15836000,E-Wallet,F,32.0,1.0,Regular,2492000
TRX00790,2026-01-03,Surabaya,Laptop,Laptop ProBook,6798000,1,6798000,E-Wallet,M,23.0,5.0,Regular,1020000
TRX01594,2026-01-04,Bandung,Smartphone,Smartphone MaxEdge,7360000,1,7360000,Credit Card,M,43.0,3.0,Regular,1333000
TRX02090,2026-01-04,Malang,Home Appliances,Electric Fan,3728000,1,3728000,E-Wallet,M,28.0,4.0,Regular,2537000
TRX01167,2026-01-04,Jakarta,Laptop,Laptop X1,13257000,2,26514000,Debit Card,F,33.0,3.0,Regular,2300000
TRX00540,2026-01-04,Jakarta,Smartphone,Smartphone MaxEdge,3687000,1,3687000,Debit Card,F,31.0,5.0,Regular,1495000
TRX00415,2026-01-04,Bandung,Home Appliances,Rice Cooker,5861000,4,23444000,E-Wallet,M,44.0,3.0,Regular,376000
TRX01652,2026-01-04,Jakarta,Accessories,Bluetooth Earphones,498000,4,1992000,E-Wallet,M,48.0,4.0,Regular,1142000
TRX01624,2026-01-04,Surabaya,Home Appliances,TV LED 32in,2557000,4,10228000,Debit Card,M,37.0,5.0,Regular,2639000
TRX00233,2026-01-04,Surabaya,Smartphone,Smartphone Z5,1675000,1,1675000,Credit Card,F,18.0,5.0,Regular,1144000
TRX01529,2026-01-04,Malang,Accessories,Wireless Mouse,320000,5,1600000,Credit Card,M,47.0,4.0,Regular,1798000
TRX02171,2026-01-04,Bandung,Accessories,Powerbank 10000mAh,411000,3,1233000,E-Wallet,M,33.0,3.0,Regular,1803000
TRX01366,2026-01-04,Jakarta,Smartphone,Smartphone MaxEdge,6074000,4,24296000,E-Wallet,M,20.0,5.0,Regular,2423000
TRX00300,2026-01-04,Surabaya,Smartphone,Smartphone MaxEdge,6252000,3,18756000,Credit Card,F,53.0,5.0,Regular,1550000
TRX00478,2026-01-04,Jakarta,Laptop,Laptop X1,5492000,5,27460000,Credit Card,M,30.0,4.0,Regular,2621000
TRX00369,2026-01-05,Jakarta,Smartphone,Smartphone MaxEdge,6887000,1,6887000,Debit Card,M,21.0,,Regular,595000
TRX02138,2026-01-05,Malang,Laptop,Laptop UltraSlim,10824000,4,43296000,Credit Card,F,22.0,4.0,Regular,2105000
TRX00429,2026-01-05,Malang,Accessories,Powerbank 10000mAh,148000,3,444000,E-Wallet,F,33.0,3.0,Regular,2137000
TRX00170,2026-01-05,Surabaya,Home Appliances,Rice Cooker,1349000,4,5396000,E-Wallet,F,46.0,3.0,Regular,228000
TRX00272,2026-01-05,Bandung,Laptop,Laptop ProBook,7394000,5,36970000,Credit Card,M,33.0,4.0,Regular,2039000
TRX01180,2026-01-05,Jakarta,Home Appliances,TV LED 32in,3648000,4,14592000,E-Wallet,M,18.0,4.0,Regular,1744000
TRX01399,2026-01-05,Jakarta,Smartphone,Smartphone MaxEdge,6637000,1,6637000,E-Wallet,F,31.0,4.0,Regular,355000
TRX01783,2026-01-05,Surabaya,Smartphone,Smartphone Air,6335000,4,25340000,E-Wallet,F,37.0,5.0,Regular,1080000
TRX01744,2026-01-05,Malang,Smartphone,Smartphone Z5,1508000,2,3016000,E-Wallet,F,36.0,5.0,Regular,2490000
TRX00821,2026-01-05,Surabaya,Home Appliances,Electric Fan,3164000,5,15820000,Credit Card,M,28.0,4.0,Regular,2988000
TRX00454,2026-01-05,Surabaya,Accessories,Bluetooth Earphones,276000,4,1104000,Debit Card,F,46.0,4.0,Regular,2445000
TRX00138,2026-01-06,Surabaya,Smartphone,Smartphone NovaLite,6655000,4,26620000,Debit Card,M,22.0,5.0,Regular,651000
TRX01536,2026-01-06,Surabaya,Accessories,Bluetooth Earphones,75000,2,150000,E-Wallet,F,46.0,5.0,Regular,1914000
TRX01590,2026-01-06,Surabaya,Home Appliances,Electric Fan,3025000,5,15125000,E-Wallet,M,35.0,4.0,Regular,2000000
TRX01493,2026-01-06,Jakarta,Smartphone,Smartphone NovaLite,7232000,4,28928000,E-Wallet,M,29.0,5.0,Regular,2934000
TRX00385,2026-01-06,Jakarta,Laptop,Laptop ProBook,7409000,1,7409000,Debit Card,F,48.0,4.0,Regular,1952000
TRX01300,2026-01-06,Surabaya,Smartphone,Smartphone Air,7709000,4,30836000,Debit Card,M,32.0,4.0,Regular,1016000
TRX01944,2026-01-06,Surabaya,Smartphone,Smartphone Z5,3698000,1,3698000,E-Wallet,F,49.0,4.0,Regular,2143000
TRX01869,2026-01-06,Surabaya,Laptop,Laptop A14,10411000,2,20822000,Credit Card,M,42.0,3.0,Regular,2679000
TRX00787,2026-01-06,Malang,Smartphone,Smartphone Z5,3224000,1,3224000,Cash,F,,4.0,Regular,2486000
TRX00830,2026-01-06,Surabaya,Home Appliances,2-Door Refrigerator,5459000,5,27295000,Credit Card,F,34.0,5.0,Regular,2230000
TRX01683,2026-01-07,Jakarta,Smartphone,Smartphone NovaLite,4997000,1,4997000,E-Wallet,F,28.0,5.0,Regular,654000
TRX00844,2026-01-07,Malang,Smartphone,Smartphone NovaLite,5960000,3,17880000,Debit Card,F,38.0,5.0,Regular,2349000
TRX00117,2026-01-07,Surabaya,Accessories,Wireless Mouse,160000,1,160000,Credit Card,M,32.0,2.0,Regular,2172000
TRX01446,2026-01-07,Surabaya,Laptop,Laptop UltraSlim,12989000,3,38967000,E-Wallet,F,24.0,5.0,Regular,1410000
TRX00970,2026-01-07,Surabaya,Accessories,Bluetooth Earphones,335000,5,1675000,Credit Card,F,25.0,4.0,Regular,2354000
TRX00328,2026-01-07,Malang,Accessories,Wireless Mouse,63000,4,252000,Debit Card,M,47.0,5.0,Regular,2144000
TRX01909,2026-01-07,Malang,Laptop,Laptop ProBook,12991000,1,12991000,E-Wallet,F,50.0,5.0,Regular,2335000
TRX01266,2026-01-07,Jakarta,Accessories,Bluetooth Earphones,117000,2,234000,Credit Card,M,,5.0,Regular,935000
TRX00147,2026-01-07,Jakarta,Accessories,Bluetooth Earphones,386000,4,1544000,Debit Card,M,22.0,4.0,Regular,2196000
TRX00663,2026-01-07,Malang,Accessories,Powerbank 10000mAh,126000,1,126000,Debit Card,M,41.0,5.0,Regular,1866000
TRX00562,2026-01-08,Jakarta,Laptop,Laptop UltraSlim,6601000,3,19803000,E-Wallet,M,20.0,4.0,Regular,1587000
TRX00811,2026-01-08,Malang,Smartphone,Smartphone Z5,5299000,3,15897000,Debit Card,M,25.0,3.0,Regular,2820000
TRX01452,2026-01-08,Surabaya,Smartphone,Smartphone NovaLite,7698000,4,30792000,E-Wallet,M,40.0,,Regular,1053000
TRX00902,2026-01-08,Surabaya,Accessories,Phone Case,372000,3,1116000,Debit Card,M,53.0,,Regular,1804000
TRX00250,2026-01-08,Malang,Home Appliances,2-Door Refrigerator,2383000,5,11915000,Debit Card,M,32.0,3.0,Regular,1383000
